 allocated memory at: 0x61f000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x401120 : 0x40227e: call qword ptr [rip+0x1e05bbb]
jump to orig addr: 0x4012d0 : 0x4022a2: call qword ptr [rip+0x1e05b9a]
jump to orig addr: 0x4012d0 : 0x4022d2: call qword ptr [rip+0x1e05b62]
jump to orig addr: 0x4012d0 : 0x40232f: call qword ptr [rip+0x1e05af9]
jump to orig addr: 0x4011f0 : 0x402363: call qword ptr [rip+0x1e05ac8]
jump to orig addr: 0x4011f0 : 0x4023f4: call qword ptr [rip+0x1e05a32]
jump to orig addr: 0x401120 : 0x40240f: call qword ptr [rip+0x1e05a02]
jump to orig addr: 0x4010b0 : 0x402419: call qword ptr [rip+0x1e05a17]
jump to orig addr: 0x4011f0 : 0x402446: call qword ptr [rip+0x1e059d9]
jump to orig addr: 0x4011f0 : 0x40246b: call qword ptr [rip+0x1e059b3]
jump to orig addr: 0x4011f0 : 0x40248b: call qword ptr [rip+0x1e05992]
jump to orig addr: 0x4011f0 : 0x4024b0: call qword ptr [rip+0x1e0596c]
jump to orig addr: 0x4011f0 : 0x4024d0: call qword ptr [rip+0x1e0594b]
jump to orig addr: 0x4011f0 : 0x402538: call qword ptr [rip+0x1e058d6]
jump to orig addr: 0x4012c0 : 0x402552: call qword ptr [rip+0x1e058d3]
jump to orig addr: 0x4011f0 : 0x402582: call qword ptr [rip+0x1e0588a]
jump to orig addr: 0x4011f0 : 0x4025b5: call qword ptr [rip+0x1e05856]
jump to orig addr: 0x4011f0 : 0x4025f8: call qword ptr [rip+0x1e0580e]
jump to orig addr: 0x4012a0 : 0x402607: call qword ptr [rip+0x1e0581e]
jump to orig addr: 0x4011f0 : 0x40263f: call qword ptr [rip+0x1e057c5]
jump to orig addr: 0x4012a0 : 0x40264e: call qword ptr [rip+0x1e057d5]
jump to orig addr: 0x4011f0 : 0x402688: call qword ptr [rip+0x1e0577a]
jump to orig addr: 0x4011f0 : 0x4026c8: call qword ptr [rip+0x1e05735]
jump to orig addr: 0x4011f0 : 0x4026ea: call qword ptr [rip+0x1e0570f]
jump to orig addr: 0x4011f0 : 0x402737: call qword ptr [rip+0x1e056bd]
jump to orig addr: 0x4012d0 : 0x402768: call qword ptr [rip+0x1e05683]
jump to orig addr: 0x4012c0 : 0x40277f: call qword ptr [rip+0x1e0568b]
jump to orig addr: 0x401150 : 0x402798: call qword ptr [rip+0x1e05681]
jump to orig addr: 0x4011a0 : 0x4027c1: call qword ptr [rip+0x1e05600]
jump to orig addr: 0x401150 : 0x4027d7: call qword ptr [rip+0x1e05639]
jump to orig addr: 0x401150 : 0x402808: call qword ptr [rip+0x1e05600]
jump to orig addr: 0x4011f0 : 0x402832: call qword ptr [rip+0x1e055a9]
jump to orig addr: 0x4012c0 : 0x402849: call qword ptr [rip+0x1e055a9]
jump to orig addr: 0x4010a0 : 0x402861: call qword ptr [rip+0x1e055a8]
jump to orig addr: 0x401290 : 0x40288d: call qword ptr [rip+0x1e05583]
jump to orig addr: 0x401120 : 0x4028af: call qword ptr [rip+0x1e05514]
jump to orig addr: 0x401280 : 0x4028e0: call qword ptr [rip+0x1e05532]
jump to orig addr: 0x401260 : 0x402901: call qword ptr [rip+0x1e05511]
jump to orig addr: 0x401190 : 0x402916: call qword ptr [rip+0x1e054ff]
jump to orig addr: 0x401270 : 0x402a21: call qword ptr [rip+0x1e053e2]
jump to orig addr: 0x401070 : 0x402a42: call qword ptr [rip+0x1e053c4]
jump to orig addr: 0x401250 : 0x402a6a: call qword ptr [rip+0x1e0539f]
jump to orig addr: 0x401150 : 0x402a9a: call qword ptr [rip+0x1e0532e]
jump to orig addr: 0x401150 : 0x402aa9: call qword ptr [rip+0x1e0531e]
jump to orig addr: 0x4011c0 : 0x402adf: call qword ptr [rip+0x1e05328]
jump to orig addr: 0x401150 : 0x402b30: call qword ptr [rip+0x1e05280]
jump to orig addr: 0x401150 : 0x402b3f: call qword ptr [rip+0x1e05270]
