 allocated memory at: 0x60217cd28000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b848b: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b84a1: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b84b4: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b8514: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b8a61: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b8a78: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b8a8f: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4f68a1 : 0x60217c4b8c05: call 0x60217c4f68a1
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b8c4f: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa650 : 0x60217c4b90e8: jmp 0x60217c4aa650
jump to orig addr: 0x60217c8a6d34 : 0x60217c4b91d4: call 0x60217c8a6d34
jump to orig addr: 0x60217c4aa680 : 0x60217c4bb37c: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4bc38f: jmp 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa510 : 0x60217c4bc578: call 0x60217c4aa510
jump to orig addr: 0x60217c4aa360 : 0x60217c4bc64d: call 0x60217c4aa360
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4bc6bc: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4bcdd4: call 0x60217c4aa2e0
jump to orig addr: 0x60217c8a6d2d : 0x60217c4bfb8c: call 0x60217c8a6d2d
jump to orig addr: 0x60217c8a6d2d : 0x60217c4bfdfa: call 0x60217c8a6d2d
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4c0523: call 0x60217c4aa2e0
jump to orig addr: 0x60217c8a6d2d : 0x60217c4c1443: call 0x60217c8a6d2d
